Vectorsize=2,,,,,,,Vectorsize=16,,,,,,,,,
 Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI,, , , 
 KMeans,"0,231","0,231","0,016","0,231","0,012",, KMeans,"0,145","0,145","0,087","0,145","0,067",, , , 
 GMM,"0,234","0,234","0,037","0,234","0,017",, GMM,"0,238","0,238","0,086","0,238","0,07",, , , 
 SVM,"0,233","0,233","0,037","0,233","0,005",, SVM,"0,271","0,271","0,12","0,271","0,03",, , , 
 T2VH,"0,182","0,182","0,036","0,182","0,025",, T2VH,"0,114","0,114","0,103","0,114","0,063",, , , 
 RandomForest,"0,214","0,214","0,007","0,214","0,005",, RandomForest,"0,31","0,31","0,08","0,31","0,067",, , , 
 DecisionTree,"0,222","0,222","0,005","0,222","0,003",, DecisionTree,"0,282","0,282","0,037","0,282","0,033",, , , 
 LogisticRegression,"0,217","0,217","0,05","0,217","0,013",, LogisticRegression,"0,271","0,271","0,094","0,271","0,063",, , , 
,,,,,,,,,,,,,, , , 
 Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI,, , , 
 KMeans,"0,207","0,207","0,001","0,207",0,, KMeans,"0,19","0,19","0,001","0,19",0,, , , 
 GMM,"0,205","0,205","0,002","0,205","0,001",, GMM,"0,191","0,191","0,001","0,191",0,, , , 
 SVM,"0,249","0,249","1,75","0,249",0,, SVM,"0,249","0,249","1,75","0,249",0,, , , 
 T2VH,"0,206","0,206","0,002","0,206","0,001",, T2VH,"0,214","0,214","0,001","0,214",0,, , , 
 RandomForest,"0,224","0,224","0,001","0,224","0,001",, RandomForest,"0,21","0,21","0,001","0,21","0,001",, , , 
 DecisionTree,"0,206","0,206","0,001","0,206",0,, DecisionTree,"0,204","0,204","0,001","0,204",0,, , , 
 LogisticRegression,"0,249","0,249","0,008","0,249",0,, LogisticRegression,"0,249","0,249","1,75","0,249",0,, , , 
,,,,,,,,,,,,,, , , 
 NGrams, Precision, Recall, NMI, F1, RI,, NGrams, Precision, Recall, NMI, F1, RI,, , , 
 KMeans,"0,231","0,231","0,033","0,231","0,009",, KMeans,"0,164","0,164","0,101","0,164","0,079",, , , 
 GMM,"0,214","0,214","0,045","0,214","0,042",, GMM,"0,061","0,061","0,42","0,061","0,395",, , , 
 SVM,"0,313","0,313","0,06","0,313","0,061",, SVM,"0,304","0,304","0,189","0,304","0,004",, , , 
 T2VH,"0,273","0,273","0,084","0,273","0,054",, T2VH,"0,161","0,161","0,119","0,161","0,1",, , , 
 RandomForest,"0,318","0,318","0,046","0,318","0,046",, RandomForest,"0,855","0,855","0,631","0,855","0,663",,, ,
 DecisionTree,"0,29","0,29","0,028","0,29","0,027",, DecisionTree,"0,799","0,799","0,522","0,799","0,556",,,,
 LogisticRegression,"0,289","0,289","0,07","0,289","0,054",, LogisticRegression,"0,86","0,86","0,657","0,86","0,671",,,,
,,,,,,,,,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, , ,,,,,,,,
,,,,,,, ,,,,,,,,,
